,movie,description,cleaned_description,sentiment
66,Citizen Kane (1941),SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
67,Citizen Kane (1941),Watch the full interview now as a VladTV Youtube Member: Click Here,watch full interview vladtv youtube member click,0.35
68,2001: A Space Odyssey (1968),SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
69,2001: A Space Odyssey (1968),Watch the full interview now as a VladTV Youtube Member: Click Here,watch full interview vladtv youtube member click,0.35
70,Mr. Smith Goes to Washington (1939),SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
71,Mr. Smith Goes to Washington (1939),Watch the full interview now as a VladTV Youtube Member: Click Here,watch full interview vladtv youtube member click,0.35
72,Big Night (1996),SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
73,Big Night (1996),Watch the full interview now as a VladTV Youtube Member: Click Here,watch full interview vladtv youtube member click,0.35
74,D3: The Mighty Ducks (1996),SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
75,D3: The Mighty Ducks (1996),Watch the full interview now as a VladTV Youtube Member: Click Here,watch full interview vladtv youtube member click,0.35
76,"Love Bug, The (1969)",SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
77,"Love Bug, The (1969)",Watch the full interview now as a VladTV Youtube Member: Click Here,watch full interview vladtv youtube member click,0.35
78,Homeward Bound: The Incredible Journey (1993),SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
79,Homeward Bound: The Incredible Journey (1993),Watch the full interview now as a VladTV Youtube Member: Click Here,watch full interview vladtv youtube member click,0.35
80,"20,000 Leagues Under the Sea (1954)",SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
81,"20,000 Leagues Under the Sea (1954)",,,0.0
82,"20,000 Leagues Under the Sea (1954)",,,0.0
83,Bedknobs and Broomsticks (1971),SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
84,Bedknobs and Broomsticks (1971),,,0.0
85,Bedknobs and Broomsticks (1971),,,0.0
86,"Sound of Music, The (1965)",SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
87,"Sound of Music, The (1965)",,,0.0
88,"Sound of Music, The (1965)",,,0.0
89,Die Hard (1988),SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
90,Die Hard (1988),,,0.0
91,Die Hard (1988),,,0.0
92,"Lawnmower Man, The (1992)",SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
93,"Lawnmower Man, The (1992)",,,0.0
94,"Lawnmower Man, The (1992)",,,0.0
95,Unhook the Stars (1996),SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
96,Unhook the Stars (1996),,,0.0
97,Unhook the Stars (1996),,,0.0
98,"Long Kiss Goodnight, The (1996)",SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
99,"Long Kiss Goodnight, The (1996)",,,0.0
100,"Long Kiss Goodnight, The (1996)",,,0.0
101,"Ghost and the Darkness, The (1996)",SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
102,"Ghost and the Darkness, The (1996)",,,0.0
103,"Ghost and the Darkness, The (1996)",,,0.0
104,Jude (1996),SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
105,Jude (1996),,,0.0
106,Jude (1996),,,0.0
107,Swingers (1996),SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
108,Swingers (1996),,,0.0
109,Swingers (1996),,,0.0
110,Willy Wonka and the Chocolate Factory (1971),SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
111,Willy Wonka and the Chocolate Factory (1971),,,0.0
112,Willy Wonka and the Chocolate Factory (1971),,,0.0
113,Sleeper (1973),SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
114,Sleeper (1973),,,0.0
115,Sleeper (1973),,,0.0
116,"Fish Called Wanda, A (1988)",SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
117,"Fish Called Wanda, A (1988)",,,0.0
118,"Fish Called Wanda, A (1988)",,,0.0
119,Monty Python's Life of Brian (1979),SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
120,Monty Python's Life of Brian (1979),,,0.0
121,Monty Python's Life of Brian (1979),,,0.0
122,Dirty Dancing (1987),SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
123,Dirty Dancing (1987),,,0.0
124,Dirty Dancing (1987),,,0.0
125,Reservoir Dogs (1992),SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
126,Reservoir Dogs (1992),,,0.0
127,Reservoir Dogs (1992),,,0.0
128,Platoon (1986),SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
129,Platoon (1986),,,0.0
130,Platoon (1986),,,0.0
131,Weekend at Bernie's (1989),SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
132,Weekend at Bernie's (1989),,,0.0
133,Weekend at Bernie's (1989),,,0.0
134,Basic Instinct (1992),SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
135,Basic Instinct (1992),,,0.0
136,Basic Instinct (1992),,,0.0
137,Glengarry Glen Ross (1992),SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
138,Glengarry Glen Ross (1992),,,0.0
139,Glengarry Glen Ross (1992),,,0.0
140,Top Gun (1986),SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
141,Top Gun (1986),,,0.0
142,Top Gun (1986),,,0.0
143,On Golden Pond (1981),SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
144,On Golden Pond (1981),,,0.0
145,On Golden Pond (1981),,,0.0
146,"Return of the Pink Panther, The (1974)",SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
147,"Return of the Pink Panther, The (1974)",,,0.0
148,"Return of the Pink Panther, The (1974)",,,0.0
149,"Abyss, The (1989)",SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
150,"Abyss, The (1989)",,,0.0
151,"Abyss, The (1989)",,,0.0
152,Jean de Florette (1986),SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
153,Jean de Florette (1986),,,0.0
154,Jean de Florette (1986),,,0.0
155,Manon of the Spring (Manon des sources) (1986),SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
156,Manon of the Spring (Manon des sources) (1986),,,0.0
157,Manon of the Spring (Manon des sources) (1986),,,0.0
158,Private Benjamin (1980),SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
159,Private Benjamin (1980),,,0.0
160,Private Benjamin (1980),,,0.0
161,Monty Python and the Holy Grail (1974),SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
162,Monty Python and the Holy Grail (1974),,,0.0
163,Monty Python and the Holy Grail (1974),,,0.0
164,"Wrong Trousers, The (1993)",SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
165,"Wrong Trousers, The (1993)",,,0.0
166,"Wrong Trousers, The (1993)",,,0.0
167,Cinema Paradiso (1988),SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
168,Cinema Paradiso (1988),,,0.0
169,Cinema Paradiso (1988),,,0.0
170,Delicatessen (1991),SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
171,Delicatessen (1991),,,0.0
172,Delicatessen (1991),,,0.0
173,"Empire Strikes Back, The (1980)",SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
174,"Empire Strikes Back, The (1980)",,,0.0
175,"Empire Strikes Back, The (1980)",,,0.0
176,"Princess Bride, The (1987)",SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
177,"Princess Bride, The (1987)",,,0.0
178,"Princess Bride, The (1987)",,,0.0
179,Raiders of the Lost Ark (1981),SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
180,Raiders of the Lost Ark (1981),,,0.0
181,Raiders of the Lost Ark (1981),,,0.0
182,Brazil (1985),SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
183,Brazil (1985),,,0.0
184,Brazil (1985),,,0.0
185,Aliens (1986),SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
186,Aliens (1986),,,0.0
187,Aliens (1986),,,0.0
188,"Good, The Bad and The Ugly, The (1966)",SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
189,"Good, The Bad and The Ugly, The (1966)",,,0.0
190,"Good, The Bad and The Ugly, The (1966)",,,0.0
191,12 Angry Men (1957),SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
192,12 Angry Men (1957),,,0.0
193,12 Angry Men (1957),,,0.0
194,"Clockwork Orange, A (1971)",SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
195,"Clockwork Orange, A (1971)",,,0.0
196,"Clockwork Orange, A (1971)",,,0.0
197,Apocalypse Now (1979),SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
198,Apocalypse Now (1979),,,0.0
199,Apocalypse Now (1979),,,0.0
200,Return of the Jedi (1983),SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
201,Return of the Jedi (1983),,,0.0
202,Return of the Jedi (1983),,,0.0
203,GoodFellas (1990),SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
204,GoodFellas (1990),,,0.0
205,GoodFellas (1990),,,0.0
206,Alien (1979),SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
207,Alien (1979),,,0.0
208,Alien (1979),,,0.0
209,Army of Darkness (1993),SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
210,Army of Darkness (1993),,,0.0
211,Army of Darkness (1993),,,0.0
212,Psycho (1960),SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
213,Psycho (1960),,,0.0
214,Psycho (1960),,,0.0
215,"Blues Brothers, The (1980)",SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
216,"Blues Brothers, The (1980)",,,0.0
217,"Blues Brothers, The (1980)",,,0.0
218,"Godfather: Part II, The (1974)",SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
219,"Godfather: Part II, The (1974)",,,0.0
220,"Godfather: Part II, The (1974)",,,0.0
221,Full Metal Jacket (1987),SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
222,Full Metal Jacket (1987),,,0.0
223,Full Metal Jacket (1987),,,0.0
224,"Grand Day Out, A (1992)",SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
225,"Grand Day Out, A (1992)",,,0.0
226,"Grand Day Out, A (1992)",,,0.0
227,Henry V (1989),SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
228,Henry V (1989),,,0.0
229,Henry V (1989),,,0.0
230,Amadeus (1984),SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
231,Amadeus (1984),,,0.0
232,Amadeus (1984),,,0.0
233,Raging Bull (1980),SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
234,Raging Bull (1980),,,0.0
235,Raging Bull (1980),,,0.0
236,"Right Stuff, The (1983)",SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
237,"Right Stuff, The (1983)",,,0.0
238,"Right Stuff, The (1983)",,,0.0
239,"Sting, The (1973)",SDCC 2024 McFarlane Toys DC Mulitverse Damien Wayne and Deathstroke Figures,sdcc 2024 mcfarlane toys dc mulitverse damien wayne deathstroke figures,0.0
240,"Sting, The (1973)",,,0.0
241,"Sting, The (1973)",,,0.0
