Movie,Review
Farinelli: il castrato (1994),"The sets and costumes are magnificent and give a 21st century viewer a glimpse of what life must have been like for the fortunate wealthy in the days of the baroque composers, but the story is confusing and there was far too much gratuitous sex. It was as if the filmmakers did not think that the beautiful music and sumptuous settings could carry the film. I don't know if something was lost in the subtitling, or whether too much film was left on he cutting room floor, but I was baffled by a number of the characters. Who was Benjamin and why did he wear a body brace? Who were Alexandra and Margareth? The characters simply seemed to be a device to move the story along to the bizarre and unnecessary sex scenes.

My biggest problem was with the poor lip synching, which was so obvious that it distracted and spoiled the flow of the film. It was not just that the facial mannerisms did not match the voice, but that the volume actually dropped to the extent that the voice seemed to be coming from off stage. Nowhere was this worse than the trumpet scene at the beginning. The castrati had very powerful voices, but Farinelli's voice sounds like a far-off squeak. Synching has been done very successfully in the past, most notably by Audrey Hepburn in My Fair Lady and Ava Gardner is Show Boat, and most famously by Edmund Purdom in the Student Prince, so it should not be beyond the capability of film makers 40 or more years later. I felt that the film would have been more convincing if Farinelli had been played by a soprano doing her own singing, and had concentrated more on the relationship with the brother who was riding on Farinelli's coat tails. How often have we seen a partnership where one half is nothing without the other, and knows it.

As for the comparison with the decadent rock star life style, that is how the castrati stars allegedly lived in the hedonistic 18th-century. I am not sure either that the castrati strutted around the stage like drag queens as they were supposed to be playing the women's parts as women. Given Ken Russell’s record of appallingly bad taste portrayals of musicians, it is surprising that he never attempted this one. It was right up his street.

Opera lovers would be better served by listening to recordings of Handels operas."
Heavenly Creatures (1994),"I really liked this film. Like the overwhelming majority of people, I didn't know about the real crime behind the story of this film, where the friendship between two teenagers turns into a sexual and romantic obsession and leads the two young women to kill the mother of one of them, in hope that they can run away or stay together.

Directed by Peter Jackson, still a long way from dreaming that he would be as successful as ""The Lord of the Rings"", the film is excellent and does a great job in terms of recreating the events and psychology of the two central characters. Of course, according to what I've read, the facts are not entirely clear as to the nature of the relationship the two girls had, but it seems quite clear that, at the very least, there was a very strong obsession between them and a certain dissociation from reality. , through the creation of a fantasy alternative world that functioned as an escape. The film shows us this clearly and manages to maintain a certain ambiguity where it seems most necessary.

This was the debut film for young Kate Winslet and Melanie Lynksey. None of them seem exactly like newcomers or inexperienced in the cinematographic art, which can only be a revealing parameter of talent, and of the great qualities that both have revealed since then, most especially Winslet, who has dedicated more time to cinema and achieved a different level of recognition. In addition to them, we also have the excellent performances by Sarah Peirse, Clive Morrison and Diana Kent, in the role of three of the paternal figures.

Technically, the film doesn't have any major problems. The pace is ideal, there are no dead moments or situations that seem to be too much or to have been stilted, and the editing is very good and well executed. The cinematography is excellent, with great color and light, particularly in the fantasy scenes, where we enter the fantastic world that these young women created for themselves. The sets are good and, together with the costumes, recreate the period portrayed with verisimilitude. The filming locations are magnificent, very well selected and used. The soundtrack is equally good."
Interview with the Vampire (1994),"'Interview with the Vampire' is exactly as the title indicates. A reporter interviews a vampire, Louis, and we learn about his life and loves through his retellings. Brad Pitt stars as Louis, a man who tragically lost his family and in the process lost his desire to live. Antagonist vampire Lestat (Tom Cruise) came to his rescue. Or did he? Did het not condemn him to eternal misery instead of saving him?

Indeed so. We see Louis battling coming to terms with his new life - that as a vampire. Although Louis and Lestat are now both vampires, they couldn't be more different, and I found this an interesting approach to the age old vampire traditions and traits. I once read writer Anne Rice was upset upon learning Cruise was cast as Lestat, being ""the wrong person for the role."" However, Cruise is so fantastic as Lestat that she personally apologized to him afterwards. Tom Cruise truly is incredible in this film. For someone who was supposedly one of the most unlikely candidates for the role, Cruise seems all too perfect!

'Interview with the Vampire' is a stylish film with great costumes and cinematography, with beautiful settings and production design. The make-up is also excellent. There are a lot of very disturbing images, though, and a lot of blood sucking scenes - many of which are gross. Due to the graphic nature of the film it certainly is not recommended for everyone, and most definitely not for kids. You're going to have to choose your audience well with this film.

'Interview with the Vampire' is still one of my favorite vampire movies, providing loads of thrills, chills, action and adventure. I love it!"
"Kid in King Arthur's Court, A (1995)","I thought this movie was cute when I was about 10, but now that I look at it i realize how stupid the whole thing is. there is not an educated person alive that can honestly say that they could walk back into the middle ages and save an entire kingdom all by themselves, theyd get there ass kicked. First of all, if this kid managed to survive the first 5 minutes without getting an arrow put through him or beheaded by a broadsword, and he managed to avoid being taken prisoner and made a gay soliders plaything, he would most likely die of many diseases that his body wasn't accustomed to. Also, even you do have a magical place to plug in a stereo you play rock and roll for guards at a middle age castle, youll be labled as a heritic and executed. but dying aside, the middle ages just werent that cool, disease and warfare were everywhere, people lived in disgusting conditions that even mother theresa would run away from, and there was no place for the weak, you either fought or you died and if you werent tough, you were probably killed. But enough about that, what i have to say is for young kids that enjoy the ""kids outsmarting the stupid grownups"" genre, like home alone (that ones off the hook though, still entertains me even at 19 and will continue to) go see it, but for older people that know what the middle ages were really like, dont bother.

If you want a closer to real life version of what a person time traveling would be like, read the scottish highlander book series (highlander, the fiery cross, etc) or listen to the recorded books tape or cd"
Mary Shelley's Frankenstein (1994),"This interpretation of the story ""Frankenstein"", with personalities like Kenneth Brannagh,Ian Holmes,Helena-Bonham Carter and John Cleese amongst others is so incredible in its execution and dramatic flare.

John Cleese,especially,makes a very memorable part as the mysterious mentor Professor Waldman,which shows Frankenstein the secrets of Life.

And not to forget Kenneth Brannaghs characterization of the manic, desperate and not too forget intense Dr. Victor Frankenstein is completely without competition.

It's in this part Brannaghs sense of Dramatical flare and theatrical intensity really comes into its right, and manages to put the madness of Frankenstein into an incredible sharp relief.

You get an understanding of why Frankenstein does what he does.. The Death of his mother,the want to beat Death, all of these factors formed Frankenstein up to the moment where he creates and reanimates the Monster

Ah, The Monster.. In all the excitement I almost forget Robert De Niro's excellent rendition of the monster. In his characterization the monster isn't just a lifeless and soulless being,but a humane being with wishes,desires,wants and lusts..

He feels and experiences everything with such a strenght and intensity as noone really can describe. And he tries to adapt to a world which is completely hostile to his existence, even his Father he learns will not love him or know him.

The Monster is like a child, trying to cope with emotions and feelings much stronger than anything we can imagine or percieve. And maybe it is that which makes the Monster so reckognizable?. Because he is us, and we are him?"
"Quick and the Dead, The (1995)","""The Quick and the Dead"" is a ""splatter Western,"" directed by horror vet Sam Raimi (whose latest, as of this writing, is ""Spider-Man,"" but who cut his teeth on the ""Evil Dead"" trilogy). It's set in the oh-so-ironically named lawless town of Redemption, a haven of grotesques that gives us an idea what the wild West would've looked like if had been painted, not by Frederic Remington, but by Heironymus Bosch.

In a surfeit of Biblical nomenclature, the town's mayor/owner/capo is named Herod (Gene Hackman at his oiliest, complete with bad hair). Into town there rides a mysterious stranger, not Clint Eastwood this time but Sharon Stone. I'm not the world's biggest Stone fan, but this movie and ""Total Recall"" indicate that she has her uses in kick-butt action roles that make no demands on her limited thespianic skills. As gunslinger Ellen, she's doubly armed--with a six-shooter, and with an axe to grind; even her ""inner child"" packs a gun. She enters Herod's to-the-death fast-draw tournament, a no-win, no-exit, potentially no-survivors affair, with an agenda on her mind other than just winning the prize money.

This is an overripe, over-wrought movie, but it mostly works. Raimi all but erases the slim wall between the horror and Western genres: Redemption is another Transylvanian village of simple peasants lorded over by by an evil baron, and the atmosphere--palpably oppressive and claustrophobic--could be cut with a knife. Leonardo di Caprio and veteran character actors Lance Henriksen and Roberts Blossom effectively round out the cast, and the action scenes--exaggerated, mythic, often darkly humorous--deliver. If you're more of a horror fan than a Western fan, this may be the Western for you."
Tales from the Hood (1995),"TALES FROM THE HOOD is an anthology of horror vignettes which transplants the concept of TALES FROM THE CRYPT (1972) to a setting in which contemporary social problems which disproportionately affect African Americans are used as central plot devices.

The original 'Tales from the Crypt' was a comic series in the early 1950s. There were concerns by puritanically-minded parents that the subversive aspects of these types of comics could corrupt the minds of children. A book written in 1954 by a psychiatrist, 'Seduction of the Innocent' greatly amplified these fears, and eventually Senate Subcommittee hearings were held on this matter. This eventually led to the formation of the Comics Code Authority, which issued the 'Comics Code' a set of rules by which publishers of comics would voluntarily abide.

By today's standards, the Comics Code is hilarious in its ludicrous austerity, but publishers used it to censor themselves for decades. It only became completely defunct in 2011. The research on which 'Seduction of the Innocent' was based has been largely discredited.

TALES FROM THE CRYPT (1972) began a long succession of movie and television adaptations, some of which were based on the original stories of the comics, and some of which were original. The film is an anthology of vignettes which all basically follow the same format: One person (or more) does something bad, and then they get their comeuppance in a most horrific manner by supernatural means. The vignettes are connected to each other by an overarching story in which they are actually narrations by a main character called the 'Crypt Keeper' to an audience, and the conclusion involves the revelation of a connection between the audience members and the stories told. Although heavy-handed and often bordering on the silly, the movie's greatest strength is its creepy, engaging atmosphere.

It turns out that the greatest asset of TALES FROM THE HOOD is also its atmosphere. The entire structure of TALES FROM THE CRYPT is adopted, almost without change, to tell stories which center on real social problems. The Crypt Keeper is replaced by a creepy mortician who tells these stories to a gang of thugs who are there to pick up a load of drugs he had found.

Within the overarching story 'Welcome to my Mortuary', there are four vignettes:

1.'Rogue Cop Revelation' is the story of a black ex-cop who quit his job after he did nothing to stop a trio of corrupt cops from murdering and framing a black activist. Of all the vignettes, this has the strongest vibe reminiscent of 1970s blaxploitation horror.

2.'Boys do get Bruised' tells of a young boy who keeps coming to school with bruises. When a concerned teacher tries to find out who did it, he says that it was a ""monster"" The teacher, obviously skeptical, goes to the boy's home to speak to his guardians, and finds out more than he expected.

3.'KKK Comeuppance' follows the haunting of a David Duke-type racist politician (actually named ""Duke"") who had made his political headquarters in a plantation home that was the location of a mass killing of African Slaves.

4.""Hard Core Convert"" explores the fate of a hardened criminal in prison who is given a second chance by undergoing behavior modification therapy strongly reminiscent of that in A CLOCKWORK ORANGE (1971). (This segment includes rapid flash sequences which might be unsuitable for some people who suffer from seizures).

Although there is variation in the quality of the stories, it is less so than the original TALES. However, the same kind of heavy-handedness and border-line silliness can also be found here. What helps a lot is that this movie has a good sense of humor, more than was in CRYPT, which reminds us not to take it too seriously. Another aspect that elevates it relative to the original is that the situations, however unrealistic, are based on real social issues.

There are definitely things to criticize in this film, but the deliciously over-the-top performance by Clarence Williams as the mortician, makes up for a lot of that. It is clear that this film is an homage to 70s horror. As a fan of that subgenre, I appreciate that."
Village of the Damned (1995),"This movie, which holds its own, is a remake of the 1960 film classic, which in turn was based on the book ""The Midwich Cuckoos"". This John Carpenterized version is a tad more gory and more colorful than the 1960 version.

The small town of Midwich one-day falls inexplicably asleep. Many accidents occur due to sudden narcolepsy, which is exaggerated in John Carpenter style. The result is that several of the village females including a virgin are in a motherly way. They all have their bouncing white hair babies the same day and as with the cuckoo eggs, they are too in love to notice the little quirks about having to control or mentally punish everyone. Compound this by other villages that fall to the same fate and you have an epidemic that threatens to wipe out the human race.

What action can be taken?

Is it too late?

If he/she were your child, what would you do?"
Clear and Present Danger (1994),"Tom Clancy's CIA analyst character Jack Ryan not only made an impact on the page, he also made an impact on the big screen as well. In the 1990 smash THE HUTN FOR RED October, as played by Alec Baldwin, he was in a race against time to find out whether a renegade Soviet submarine captain was out to defect to America, or out to launch. Then in 1992's PATRIOT GAMES, Ryan, then portrayed by Harrison Ford, went into action to protect his own family against the machinations of vengeful ultra-violent Irish Republican Army terrorists. And then in 1994, again with Ford more than capably assuming the role, Ryan found himself in a pickle much closer to his job: covert military action related to the ongoing Latin American drug war in CLEAR AND PRESENT DANGER.

Ford's Jack Ryan is put into action into finding the root causes of why one of the closest friends of the President (Donald Moffatt) was killed on his boat in the Caribbean Sea. As it turns out, the president's dead friend had stolen money from a Colombian drug kingpin (Miguel Sandoval), like six hundred forty million dollarsand change. For Ford, this may seem like a fairly routine matter, as is him having to go to Congress to get authorization to fund the Colombian government's war against drug cartels like Sandoval's. But unbeknownst to him, Moffatt, along with his national security adviser (Harris Yulin) and deputy CIA director (Henry Czerny) have hatched a covert operation called Operation Reciprocity to finish off the drug war on American terms, sending a paramilitary unit commanded by a man named Clark (Willem Dafoe) into the hot zone. More importantly, when his mentor Admiral Greer (James Earl Jones) falls victim to inoperable pancreatic cancer that ultimately kills him, the weight of the world falls on his shoulders. Dafoe's team does score hits against Sandoval's operation; but the end result is a series of horrific acts of retribution, including the killing of an FBI team sent to assist Ford, followed by the capture of Dafoe's men by an associate of Sandoval's (Joaquin De Almeida) out to take over Sandoval's operation.

Once Ford makes himself aware of the kind of paramilitary finagling that had been going on behind his back, he becomes a fighter once more—not for just his family, but the truth. This means having not only to go back down to the Colombian war zone to rescue Dafoe and his men, but also having to confront a president who has bent, and maybe even broken the law, for political points, and made decisions that resulted in massive losses of lives.

Philip Noyce, who had also directed PATRIOT GAMES, returns to the director's chair for this well made and, at close to two and a half hours, epic action/suspense thriller. Not surprisingly, Ford delivers the kind of performance that could easily be classified as a ""thinking man's action hero"" as Ryan, acting not on impulse or an urge for explosions of violence, but a vigilant search for the truth. Ultimately, he wonders, exactly what does constitute a ""clear and present danger"" in the real world? Is it what the president says it is, when it is in the form of drug cartels (who, by the early 2000s, proliferated far closer to the U.S., in rural sections of Mexico)? Or is the real clear and present danger found in a host of decisions merely meant to gain political points? Ford's performance remains the centerpiece of this film, but Sandoval and De Almeida make for a pair of crafty (but non-stereotypical) South American heavies (much of the film was shot in Mexico), and there are also underhanded performances by Yulin and, most especially Czerny, the latter of whom is absolutely oily and corrupt (he would play a similar role only two years later in MISSION IMPOSSIBLE). And when he is not recycling his scores for ALIENS and PATRIOT GAMES, James Horner's score is extremely effective too, veering from typically stirring patriotic Americana to ethnic South American motifs (with pan flutes).

Far too many action films from the 1980s onward are all about spectacle, and almost no suspense or substance. But CLEAR AND PRESENT DANGER has a lot of those two important things in spades, and still ranks as one of the best films of the action genre during the 1990s."
Wes Craven's New Nightmare (1994),"The First Nightmare on Elm Street was scary and original. It had the great idea of a killer killing people in their dreams. All of its sequels (except for part 2, which went in a horrible direction) just built on to that idea, and the idea wasn't scary anymore as the series progressed. Now with New Nightmare, Wes Craven came up with another original idea. It turns out that Freddy is in fact real, some kind of ancient evil that took the form of Freddy Krueger and could only be contained through storytelling, IE: the Nightmare On Elm Street movies. But since the series has ended, the genie is out of the bottle, and this ingenious film unravels.

I wouldn't say this movie is that scary, it's more creepy than it is scary, but I love its imagination. It plays mind little mind games and you wonder what is real and what is not. Freddy Krueger is even credited as ""himself"". It's a must-see for any Freddy fan and in many ways it stands on its own...but only if you've seen the other movies. If that makes any sense.

This is one of the best sequels in the Nightmare series and it's nothing short of brilliant. It's nice to see that Freddy is back in the bottle where he belongs, and hopefully will be for a long time...

My Rating: 9/10"
Speed (1994),"I saw the movie and, as in many action movies, found it to be bad.

Sandra Bullock is driving the bus with a smile. I think in such situations nobody has a smile.

The plot is weak, most characters are weak, ...

The bus ""flying"" over the missing part of the road has been done earlier (taxi). I can't imagine a bus can actually do this without any damage.

On the airport the bus is driving over something that is on the ground. Strange as the runway should always be clean.

And why has Jack to fasten the metro train to let it be derailed? Isn't it much easier to decrease the speed so it stops? I can't believe they did not get hurt at all at the end of the movie.

Howard called a few times with a phone. Why didn't they track that number the first/second time he called?

This movie is full of errors and mistakes. Many of them could have been avoided."
